百千百千,拘梨
拘梨拘梨,不變
不變不變,那由他
那由他那由他,鞞婆邏
鞞婆邏鞞婆邏,作
作作,來
來來,勝
勝勝,復次
復次復次,阿婆邏
阿婆邏阿婆邏,得勝
得勝得勝,分界
分界分界,充滿
充滿充滿,量
量量,解
解解,此解
此解此解,離欲
離欲離欲,捨
捨捨,聚
聚聚,通
通通,頻申
頻申頻申,網
網網,眾流
眾流眾流,出
出出,分
分分,分別
分別分別,稱
稱稱,持
持持,不顛倒
不顛倒不顛倒,不幡
不幡不幡,正
正正,慧
慧慧,第一
第一第一,覺
覺覺,毘遮妬
毘遮妬毘遮妬,極高
極高極高,妙
妙妙,邏婆
邏婆邏婆,訶梨婆
訶梨婆訶梨婆,解脫
解脫解脫,黃
黃黃,訶梨那
訶梨那訶梨那,因
因因,賢覺
賢覺賢覺,明相
明相明相,摩樓陀
摩樓陀摩樓陀,忍
忍忍,枝
枝枝,摩樓摩
摩樓摩摩樓摩,等
等等,離疑
離疑離疑,種
種種,不放逸
不放逸不放逸,摩多羅
摩多羅摩多羅,動
動動,到
到到,說
說說,白
白白,了別
了別了別,究竟
究竟究竟,清涼
清涼清涼,阿羅
阿羅阿羅,潮
潮潮,油
油油,祇邏
祇邏祇邏,味
味味,泥邏
泥邏泥邏,戲
戲戲,斯羅
斯羅斯羅,聚沫
聚沫聚沫,彌羅
彌羅彌羅,堅固
堅固堅固,風
風風,滿
滿滿,不可稱量
不可稱量不可稱量,根
根根,微細
微細微細,蓮華
蓮華蓮華,摩伽婆
摩伽婆摩伽婆,不可度
不可度不可度,醯樓
醯樓醯樓,語
語語,劫
劫劫,婆婆
婆婆婆婆,間
間間,無間
無間無間,離垢
離垢離垢,實勝
實勝實勝,彌羅覆
彌羅覆彌羅覆,遮摩羅
遮摩羅遮摩羅,法
法法,波羅摩馱
波羅摩馱波羅摩馱,決定
決定決定,流轉
流轉流轉,廣說
廣說廣說,無盡
無盡無盡,等真實
等真實等真實,無我
無我無我,阿槃陀
阿槃陀阿槃陀,青蓮華
青蓮華青蓮華,數
數數,趣
趣趣,受
受受,阿僧祇
阿僧祇阿僧祇,阿僧祇轉
阿僧祇轉阿僧祇轉,無量
無量無量,無量轉
無量轉無量轉,無分齊
無分齊無分齊,無分齊轉
無分齊轉無分齊轉,無周遍
無周遍無周遍,無周遍轉
無周遍轉無周遍轉,無數
無數無數,無數轉
無數轉無數轉,不可稱
不可稱不可稱,不可稱轉
不可稱轉不可稱轉,不可思議
不可思議不可思議,不可思議轉
不可思議轉不可思議轉,不可量
不可量不可量,不可量轉
不可量轉不可量轉,不可說
不可說不可說,不可說轉
不可說轉不可說轉,不可說轉轉
